"MetricId","Timestamp","Value"
"cpu.usage.average","2014-03-28 14:30:00","5.17"
"cpu.usage.average","2014-03-28 14:00:00","5.21"
"cpu.usage.average","2014-03-28 13:30:00","5.29"
"cpu.usage.average","2014-03-28 13:00:00","5.16"
"cpu.usage.average","2014-03-28 12:30:00","5.24"
"cpu.usage.average","2014-03-28 12:00:00","5.22"
"cpu.usage.average","2014-03-28 11:30:00","5.11"
"cpu.usage.average","2014-03-28 11:00:00","5.12"
"cpu.usage.average","2014-03-28 10:30:00","5.2"
"cpu.usage.average","2014-03-28 10:00:00","5.11"
"cpu.usage.average","2014-03-28 09:30:00","5.13"
"cpu.usage.average","2014-03-28 09:00:00","0.01"
"cpu.usage.average","2014-03-28 08:30:00","5.21"
"cpu.usage.average","2014-03-28 08:00:00","5.09"
"cpu.usage.average","2014-03-28 07:30:00","5.04"
"cpu.usage.average","2014-03-28 07:00:00","5.04"
"cpu.usage.average","2014-03-28 06:30:00","5.05"
"cpu.usage.average","2014-03-28 06:00:00","5.01"
"cpu.usage.average","2014-03-28 05:30:00","4.96"
"cpu.usage.average","2014-03-28 05:00:00","5.03"
"cpu.usage.average","2014-03-28 04:30:00","5.16"
"cpu.usage.average","2014-03-28 04:00:00","5.04"
"cpu.usage.average","2014-03-28 03:30:00","5.04"
"cpu.usage.average","2014-03-28 03:00:00","4.99"
"cpu.usage.average","2014-03-28 02:30:00","5.06"
"cpu.usage.average","2014-03-28 02:00:00","5.05"
"cpu.usage.average","2014-03-28 01:30:00","5.08"
"cpu.usage.average","2014-03-28 01:00:00","5.11"
"cpu.usage.average","2014-03-28 00:30:00","5.19"
"cpu.usage.average","2014-03-28 00:00:00","5.09"
"cpu.usage.average","2014-03-27 23:30:00","5.17"
"cpu.usage.average","2014-03-27 23:00:00","5.13"
"cpu.usage.average","2014-03-27 22:30:00","5.16"
"cpu.usage.average","2014-03-27 22:00:00","5.2"
"cpu.usage.average","2014-03-27 21:30:00","5.23"
"cpu.usage.average","2014-03-27 21:00:00","5.45"
"cpu.usage.average","2014-03-27 20:30:00","5.32"
"cpu.usage.average","2014-03-27 20:00:00","5.39"
"cpu.usage.average","2014-03-27 19:30:00","5.37"
"cpu.usage.average","2014-03-27 19:00:00","5.36"
"cpu.usage.average","2014-03-27 18:30:00","5.3"
"cpu.usage.average","2014-03-27 18:00:00","5.28"
"cpu.usage.average","2014-03-27 17:30:00","5.33"
"cpu.usage.average","2014-03-27 17:00:00","5.06"
"cpu.usage.average","2014-03-27 16:30:00","5.17"
"cpu.usage.average","2014-03-27 16:00:00","5.22"
"cpu.usage.average","2014-03-27 15:30:00","5.2"
"cpu.usage.average","2014-03-27 15:00:00","5.16"
"cpu.usage.average","2014-03-27 14:30:00","5.22"
"cpu.usage.average","2014-03-27 14:00:00","5.23"
"cpu.usage.average","2014-03-27 13:30:00","5.29"
"cpu.usage.average","2014-03-27 13:00:00","5.3"
"cpu.usage.average","2014-03-27 12:30:00","5.19"
"cpu.usage.average","2014-03-27 12:00:00","5.16"
"cpu.usage.average","2014-03-27 11:30:00","5.2"
"cpu.usage.average","2014-03-27 11:00:00","5.23"
"cpu.usage.average","2014-03-27 10:30:00","5.43"
"cpu.usage.average","2014-03-27 10:00:00","5.22"
"cpu.usage.average","2014-03-27 09:30:00","5.32"
"cpu.usage.average","2014-03-27 09:00:00","5.3"
"cpu.usage.average","2014-03-27 08:30:00","5.62"
"cpu.usage.average","2014-03-27 08:00:00","5.22"
"cpu.usage.average","2014-03-27 07:30:00","5.13"
"cpu.usage.average","2014-03-27 07:00:00","5.24"
"cpu.usage.average","2014-03-27 06:30:00","5.07"
"cpu.usage.average","2014-03-27 06:00:00","5.07"
"cpu.usage.average","2014-03-27 05:30:00","5.01"
"cpu.usage.average","2014-03-27 05:00:00","5.1"
"cpu.usage.average","2014-03-27 04:30:00","5.07"
"cpu.usage.average","2014-03-27 04:00:00","5.24"
"cpu.usage.average","2014-03-27 03:30:00","5.1"
"cpu.usage.average","2014-03-27 03:00:00","5"
"cpu.usage.average","2014-03-27 02:30:00","5.11"
"cpu.usage.average","2014-03-27 02:00:00","5.19"
"cpu.usage.average","2014-03-27 01:30:00","5.18"
"cpu.usage.average","2014-03-27 01:00:00","5.23"
"cpu.usage.average","2014-03-27 00:30:00","5.23"
"cpu.usage.average","2014-03-27 00:00:00","5.4"
"cpu.usage.average","2014-03-26 23:30:00","5.29"
"cpu.usage.average","2014-03-26 23:00:00","5.38"
"cpu.usage.average","2014-03-26 22:30:00","5.34"
"cpu.usage.average","2014-03-26 22:00:00","5.68"
"cpu.usage.average","2014-03-26 21:30:00","5.37"
"cpu.usage.average","2014-03-26 21:00:00","5.32"
"cpu.usage.average","2014-03-26 20:30:00","5.55"
"cpu.usage.average","2014-03-26 20:00:00","5.32"
"cpu.usage.average","2014-03-26 19:30:00","5.37"
"cpu.usage.average","2014-03-26 19:00:00","5.38"
"cpu.usage.average","2014-03-26 18:30:00","5.37"
"cpu.usage.average","2014-03-26 18:00:00","5.17"
